method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
traditional-spec-sampling / kv-cache,10.0,5.4926747512072325,26.0,0.0003135999999999,0.2600000000000001,0.978965613991022,0.0001663999999999,1.239445613991022,0.26047999999999993,78.98415250659907,0.02530163457435669,20.97712050170549,0.013425357121083436,22.565428869033337,37.65252361503931,10.000000000000005,392.0,208.0,0.1721538724452819
traditional-spec-sampling / kv-cache,10.0,5.489814750850201,26.0,0.0003167999999999,0.2600000000000001,1.019854847341776,0.0001663999999999,1.2803380473417758,0.2604831999999999,79.65512307153472,0.024743465263540106,20.307136895588577,0.012996567613168874,23.322062864571002,39.22518643622215,10.000000000000005,396.0,208.0,0.1723545084345949
traditional-spec-sampling / kv-cache,10.0,4.215551355853677,22.0,0.0002719999999999,0.2200000000000001,0.7459284663200378,0.0001407999999999,0.9663412663200378,0.22041279999999994,77.19099787186336,0.028147406043800022,22.766284300140754,0.014570421952079726,22.923247393918828,33.90583937818354,10.000000000000005,340.0,176.0,0.2308738758127355
traditional-spec-sampling / kv-cache,10.0,5.244465051218867,25.0,0.0003007999999999,0.2500000000000001,0.9380032997578382,0.0001599999999999,1.1884640997578382,0.2504607999999999,78.92567389700422,0.025309977816005642,21.03555337102233,0.013462754157445871,22.6613026905695,37.52013199031353,10.000000000000004,376.0,200.0,0.1796849442149332
traditional-spec-sampling / kv-cache,10.0,4.547396076843143,25.0,0.0003007999999999,0.2500000000000001,0.8123035840690136,0.0001599999999999,1.0627643840690135,0.2504607999999999,76.43308302814413,0.028303545405635903,23.52355834910682,0.01505507734341895,23.370833903845853,32.492143362760544,10.000000000000004,376.0,200.0,0.2338548484423289
traditional-spec-sampling / kv-cache,10.0,4.7520104963332415,25.0,0.0003007999999999,0.2500000000000001,0.8582812454551458,0.0001599999999999,1.1087420454551458,0.2504607999999999,77.41036330076359,0.027129845145939212,22.548076085395817,0.014430768694644294,23.33206221473366,34.33124981820583,10.000000000000004,376.0,200.0,0.19551035550825
traditional-spec-sampling / kv-cache,10.0,4.808532297611237,25.0,0.0003007999999999,0.2500000000000001,0.8335176110267639,0.0001599999999999,1.0839784110267638,0.2504607999999999,76.89429997385659,0.027749630153148235,23.063189954419443,0.014760441570819212,22.54281231645794,33.34070444107056,10.000000000000004,376.0,200.0,0.2783255819254049
traditional-spec-sampling / kv-cache,10.0,4.470082763582468,24.0,0.0002879999999999,0.2400000000000001,0.7725214418023825,0.0001535999999999,1.0129630418023825,0.2404415999999999,76.26353676515402,0.028431442028472892,23.69286835706898,0.015163435748514269,22.66094601323581,32.1883934084326,10.000000000000004,360.0,192.0,0.2541271587464856
traditional-spec-sampling / kv-cache,10.0,4.809571480378509,26.0,0.0003231999999999,0.2600000000000001,0.8546079117804766,0.0001663999999999,1.1150975117804764,0.26048959999999993,76.63974699539271,0.02898401230255159,23.316346530525216,0.014922461779527161,23.184965985633283,32.86953506847986,10.000000000000005,404.0,208.0,0.2005476047328626
traditional-spec-sampling / kv-cache,10.0,4.898345919325948,24.0,0.0003007999999999,0.2400000000000001,0.8186421003192663,0.0001535999999999,1.0590965003192663,0.2404543999999999,77.29627093210915,0.028401566798608373,22.66082457336529,0.014502927726944337,21.621513011988476,34.110087513302766,10.000000000000004,376.0,192.0,0.1929210184284804
traditional-spec-sampling / kv-cache,10.0,4.851567724719644,25.0,0.0003071999999999,0.2500000000000001,0.8416917193681002,0.0001599999999999,1.0921589193681,0.2504671999999999,77.06678070761764,0.028127774681146165,22.890441635054795,0.014649882646425907,22.51146395016494,33.66766877472401,10.000000000000004,384.0,200.0,0.2052477666452559
traditional-spec-sampling / kv-cache,10.0,4.839994905516505,22.0,0.0002719999999999,0.2200000000000001,0.862097293138504,0.0001407999999999,1.0825100931385039,0.22041279999999994,79.63873026246245,0.025126786505176572,20.323136143900303,0.01300680713208695,22.36593455717662,39.18624059720473,10.000000000000005,340.0,176.0,0.2322170452900555
traditional-spec-sampling / kv-cache,10.0,4.63999592140317,24.0,0.0002911999999999,0.2400000000000001,0.8369027953594923,0.0001535999999999,1.0773475953594922,0.2404447999999999,77.68178060305897,0.027029345148603747,22.276932814790964,0.014257237001456929,23.21871858528906,34.87094980664551,10.000000000000004,364.0,192.0,0.2371513474562279
traditional-spec-sampling / kv-cache,20.0,5.558915693312883,26.0,0.0003135999999999,0.5200000000000002,0.9779326878488064,0.0001663999999999,1.4984126878488064,0.52048,65.26457602629979,0.020928813706864648,34.7033900751693,0.011105084824047496,26.955125253137535,37.612795686492554,20.00000000000001,392.0,208.0,0.1712759465369885
traditional-spec-sampling / kv-cache,20.0,5.638748548924923,26.0,0.0003199999999999,0.5200000000000002,0.990880373865366,0.0001663999999999,1.511366773865366,0.5204864,65.56187359678151,0.021172888377153507,34.40594361288522,0.011009901956116647,26.80323055287722,38.11078361020638,20.00000000000001,400.0,208.0,0.1731155303913809
traditional-spec-sampling / kv-cache,20.0,4.6818232871592045,24.0,0.0002879999999999,0.4800000000000002,0.8376248311251402,0.0001535999999999,1.3180664311251402,0.4804416,63.54951551342667,0.021850188518499385,36.416980864178306,0.011653433876529467,28.15284452833129,34.90103463021418,20.000000000000007,360.0,192.0,0.1989290095898408
traditional-spec-sampling / kv-cache,20.0,5.307312848046422,28.0,0.0003391999999999,0.5600000000000003,0.9570283591747284,0.0001791999999999,1.5175467591747283,0.5605184000000001,63.06417600569878,0.02235186480740558,36.90166359714275,0.011808532351079084,28.59350489830884,34.1795842562403,20.00000000000001,424.0,224.0,0.236939891139894
traditional-spec-sampling / kv-cache,20.0,5.0373865235596895,26.0,0.0003135999999999,0.5200000000000002,0.8925124295055866,0.0001663999999999,1.4129924295055867,0.52048,63.16470002729465,0.0221940325688532,36.80132951469181,0.011776425444694294,28.050109375110843,34.327401134830254,20.00000000000001,392.0,208.0,0.1900167072661769
traditional-spec-sampling / kv-cache,20.0,5.417402047663927,27.0,0.0003391999999999,0.5400000000000003,0.9359280616044998,0.0001727999999999,1.4764400616044997,0.540512,63.39086062101252,0.02297418017980895,36.574461371168915,0.011703827638767275,27.253654955167395,34.664002281648145,20.00000000000001,424.0,216.0,0.1818503715526631
traditional-spec-sampling / kv-cache,20.0,5.121192717924714,27.0,0.0003295999999999,0.5400000000000003,0.9204502366483212,0.0001727999999999,1.4609526366483212,0.5405024,63.00342759639312,0.02256062186629538,36.962183882898074,0.011827898842520534,28.52758560588499,34.09074950549337,20.00000000000001,412.0,216.0,0.1826668972680797
traditional-spec-sampling / kv-cache,20.0,6.308030279353261,29.0,0.0003583999999999,0.5800000000000003,1.141021005809307,0.0001855999999999,1.7215650058093073,0.5805440000000001,66.27812495949948,0.020818267029737648,33.690275885187525,0.010780888283254195,27.291641440659237,39.34555192445886,20.00000000000001,448.0,232.0,0.1539917984873745
traditional-spec-sampling / kv-cache,20.0,4.957877231761813,24.0,0.0002911999999999,0.4800000000000002,0.8465810250490904,0.0001535999999999,1.3270258250490905,0.4804448,63.79536924368242,0.02194380806335308,36.17111219235267,0.011574755901545315,26.76600817276638,35.27420937704543,20.000000000000007,364.0,192.0,0.1999259423554735
traditional-spec-sampling / kv-cache,20.0,5.355180224403739,26.0,0.0003199999999999,0.5200000000000002,0.9495819509029388,0.0001663999999999,1.4700683509029389,0.5204864,64.59440816610267,0.021767695345821916,35.37250493697168,0.011319201579824129,27.451332901996224,36.52238272703611,20.00000000000001,400.0,208.0,0.1741777169982821
traditional-spec-sampling / kv-cache,20.0,6.571645928546786,29.0,0.0003519999999999,0.5800000000000003,1.222915966063738,0.0001855999999999,1.8034535660637383,0.5805376000000001,67.8096730115932,0.019518107181887904,32.1605175156199,0.010291365604992818,27.44295090868572,42.169516071163386,20.00000000000001,440.0,232.0,0.2048260299109203
traditional-spec-sampling / kv-cache,20.0,5.463441019877791,26.0,0.0003167999999999,0.5200000000000002,0.9799697119742632,0.0001663999999999,1.5004529119742633,0.5204832,65.31159386300503,0.021113624924294454,34.656202527261954,0.011089984808717155,27.463514413629124,37.691142768240894,20.00000000000001,396.0,208.0,0.1855823566912203
traditional-spec-sampling / kv-cache,20.0,5.45711393840611,25.0,0.0003103999999999,0.5000000000000002,0.9278728049248456,0.0001599999999999,1.4283432049248457,0.5004704000000001,64.96147436593623,0.02173147174500208,35.005592372759494,0.01120178955927603,26.173967064760056,37.11491219699382,20.000000000000007,388.0,200.0,0.1752406489420283
traditional-spec-sampling / kv-cache,20.0,5.799373026937246,27.0,0.0003359999999999,0.5400000000000003,0.9915188271552324,0.0001727999999999,1.5320276271552324,0.5405088,64.7193829654592,0.02193171937922598,35.24740614519511,0.011279169966455904,26.41712509333658,36.722919524267866,20.00000000000001,420.0,216.0,0.1645725405773788
